"customerid","age","gender","tenure","usage_frequency","support_calls","payment_delay","subscription_type","contract_length","total_spend","last_interaction","churn","risk_score"
"15385.0",40,"Male",11,2,7,27,"Basic","Monthly","718.00",21,1,5
"24208.0",55,"Male",23,3,6,19,"Standard","Monthly","912.00",25,1,5
"3843.0",35,"Female",60,1,8,30,"Standard","Monthly","941.00",23,1,5
"37125.0",29,"Female",21,5,7,25,"Basic","Monthly","956.00",28,1,5
"38124.0",50,"Female",54,8,10,16,"Premium","Monthly","241.00",28,1,5
"8117.0",48,"Female",53,10,6,24,"Standard","Monthly","884.00",19,1,5
"12178.0",43,"Female",37,8,8,25,"Basic","Monthly","449.00",23,1,5
"21702.0",52,"Male",6,7,7,24,"Standard","Monthly","448.00",18,1,5
"24138.0",64,"Female",48,5,6,29,"Standard","Monthly","874.00",27,1,5
"6703.0",29,"Male",59,2,10,24,"Basic","Monthly","331.00",19,1,5
"24120.0",27,"Male",12,5,7,29,"Standard","Monthly","338.00",27,1,5
"8096.0",50,"Male",25,3,9,22,"Basic","Monthly","676.00",21,1,5
"27620.0",24,"Female",21,5,8,16,"Basic","Monthly","323.00",21,1,5
"14745.0",46,"Female",42,6,8,16,"Basic","Monthly","768.00",21,1,5
"34111.0",25,"Male",22,1,9,24,"Premium","Monthly","460.00",16,1,5
"34637.0",57,"Female",24,4,6,17,"Standard","Monthly","927.00",29,1,5
"30184.0",24,"Female",30,5,9,26,"Basic","Monthly","619.00",16,1,5
"35945.0",18,"Female",20,3,6,30,"Premium","Monthly","891.00",20,1,5
"27603.0",46,"Female",15,8,5,16,"Standard","Monthly","658.00",26,1,5
"3860.0",21,"Male",16,1,9,23,"Basic","Monthly","789.00",16,1,5
"33459.0",22,"Male",15,9,8,21,"Premium","Monthly","513.00",30,1,5
"34082.0",46,"Female",59,5,6,20,"Basic","Monthly","847.00",30,1,5
"9999.0",38,"Female",28,7,7,20,"Basic","Monthly","113.00",22,1,5
"26172.0",64,"Female",2,4,10,21,"Premium","Monthly","231.00",30,1,5
"24078.0",65,"Male",25,3,7,25,"Basic","Monthly","996.00",28,1,5
"13507.0",64,"Male",38,7,7,29,"Premium","Monthly","138.00",29,1,5
"36383.0",45,"Male",51,5,10,26,"Basic","Monthly","570.00",22,1,5
"32302.0",42,"Female",58,7,9,21,"Standard","Monthly","385.00",22,1,5
"37071.0",61,"Female",38,10,8,15,"Basic","Monthly","240.00",25,1,5
"14243.0",31,"Male",52,7,8,23,"Standard","Monthly","670.00",28,1,5
"11541.0",48,"Female",16,9,6,16,"Premium","Monthly","796.00",29,1,5
"28847.0",47,"Female",7,4,10,21,"Premium","Monthly","141.00",23,1,5
"13058.0",55,"Male",22,5,8,21,"Standard","Monthly","647.00",29,1,5
"28835.0",59,"Female",25,6,9,16,"Premium","Monthly","509.00",17,1,5
"37766.0",43,"Male",11,2,6,19,"Standard","Monthly","329.00",27,1,5
"13461.0",45,"Male",48,4,10,27,"Standard","Monthly","605.00",17,1,5
"35015.0",34,"Male",13,2,8,20,"Basic","Monthly","879.00",28,1,5
"24037.0",53,"Female",42,1,5,21,"Basic","Monthly","935.00",19,1,5
"24024.0",19,"Female",15,10,8,19,"Premium","Monthly","240.00",21,1,5
"18990.0",59,"Female",46,9,8,30,"Standard","Monthly","562.00",21,1,5
"39059.0",33,"Male",57,1,6,25,"Standard","Monthly","237.00",28,1,5
"31387.0",31,"Female",10,10,10,15,"Standard","Monthly","171.00",23,1,5
"11529.0",47,"Female",9,10,10,22,"Basic","Monthly","231.00",21,1,5
"2280.0",64,"Male",37,5,7,22,"Basic","Monthly","598.00",29,1,5
"34040.0",36,"Male",46,4,10,21,"Basic","Monthly","435.00",26,1,5
"34039.0",18,"Female",49,1,7,16,"Standard","Monthly","406.00",30,1,5
"27541.0",28,"Female",25,5,9,18,"Standard","Monthly","436.00",23,1,5
"32411.0",52,"Female",21,4,9,28,"Basic","Monthly","154.00",23,1,5
"21559.0",38,"Female",5,8,8,30,"Basic","Monthly","671.00",18,1,5
"28804.0",50,"Female",17,6,5,19,"Premium","Monthly","454.00",30,1,5
"32137.0",24,"Female",55,7,6,20,"Premium","Monthly","520.00",16,1,5
"6504.0",61,"Female",16,5,8,30,"Premium","Monthly","389.00",21,1,5
"18948.0",61,"Male",39,10,6,18,"Premium","Monthly","807.00",17,1,5
"27528.0",42,"Female",21,7,5,22,"Standard","Monthly","839.00",30,1,5
"5868.0",61,"Male",7,5,5,16,"Standard","Monthly","904.00",20,1,5
"21556.0",24,"Male",11,5,7,27,"Basic","Monthly","105.00",25,1,5
"33442.0",44,"Female",8,3,6,17,"Standard","Monthly","860.00",24,1,5
"36540.0",52,"Male",22,1,10,20,"Standard","Monthly","969.00",25,1,5
"5337.0",33,"Female",56,5,6,15,"Basic","Monthly","593.00",16,1,5
"14550.0",37,"Male",56,5,5,30,"Standard","Monthly","918.00",19,1,5
"34985.0",47,"Male",50,4,7,21,"Premium","Monthly","506.00",19,1,5
"23915.0",41,"Male",45,6,5,18,"Premium","Monthly","637.00",28,1,5
"27509.0",24,"Female",53,4,7,24,"Basic","Monthly","193.00",16,1,5
"8016.0",18,"Female",23,4,8,19,"Premium","Monthly","735.00",21,1,5
"21538.0",44,"Male",18,4,7,22,"Premium","Monthly","454.00",20,1,5
"8014.0",61,"Male",16,7,7,29,"Standard","Monthly","398.00",16,1,5
"493.0",19,"Male",14,9,6,28,"Standard","Monthly","426.00",19,1,5
"33999.0",36,"Male",33,8,8,26,"Basic","Monthly","677.00",30,1,5
"21517.0",38,"Female",8,3,6,16,"Standard","Monthly","339.00",29,1,5
"11496.0",55,"Female",4,5,8,22,"Standard","Monthly","653.00",27,1,5
"8969.0",35,"Male",24,8,9,28,"Premium","Monthly","591.00",24,1,5
"15668.0",62,"Female",44,3,5,22,"Standard","Monthly","526.00",16,1,5
"2990.0",57,"Male",42,8,7,29,"Standard","Monthly","765.00",16,1,5
"27482.0",38,"Female",13,5,7,19,"Basic","Monthly","690.00",26,1,5
"25995.0",56,"Male",22,2,7,25,"Standard","Monthly","238.00",18,1,5
"8953.0",51,"Female",4,2,7,29,"Premium","Monthly","959.00",23,1,5
"14989.0",20,"Male",55,8,7,15,"Premium","Monthly","783.00",28,1,5
"18821.0",28,"Female",30,4,8,16,"Standard","Monthly","410.00",26,1,5
"34967.0",22,"Male",11,6,9,27,"Basic","Monthly","757.00",17,1,5
"32499.0",56,"Male",41,5,10,28,"Standard","Monthly","495.00",28,1,5
"23764.0",24,"Male",48,9,5,26,"Premium","Monthly","282.00",24,1,5
"30071.0",43,"Male",10,4,8,26,"Basic","Monthly","240.00",27,1,5
"6159.0",39,"Male",27,9,8,17,"Standard","Monthly","403.00",22,1,5
"6160.0",61,"Male",24,10,8,23,"Basic","Monthly","443.00",30,1,5
"37302.0",49,"Female",18,7,9,30,"Premium","Monthly","304.00",23,1,5
"4477.0",58,"Female",36,9,9,21,"Premium","Monthly","165.00",22,1,5
"25951.0",38,"Male",8,4,10,25,"Standard","Monthly","432.00",16,1,5
"27462.0",48,"Female",11,6,7,19,"Basic","Monthly","533.00",19,1,5
"18736.0",55,"Female",48,3,7,17,"Basic","Monthly","337.00",29,1,5
"7953.0",37,"Male",57,8,8,29,"Standard","Monthly","433.00",19,1,5
"27458.0",24,"Female",42,8,6,23,"Standard","Monthly","762.00",26,1,5
"32358.0",22,"Female",35,7,10,23,"Standard","Monthly","690.00",19,1,5
"12549.0",24,"Male",57,7,10,16,"Premium","Monthly","573.00",19,1,5
"23697.0",35,"Female",57,5,8,29,"Premium","Monthly","660.00",29,1,5
"7940.0",24,"Female",44,7,7,26,"Standard","Monthly","855.00",29,1,5
"3448.0",58,"Female",25,2,8,16,"Premium","Monthly","855.00",23,1,5
"3933.0",37,"Male",29,7,10,26,"Premium","Monthly","218.00",29,1,5
"28708.0",45,"Male",14,8,5,26,"Premium","Monthly","890.00",27,1,5
"18701.0",24,"Male",59,7,9,15,"Basic","Monthly","559.00",30,1,5
"25940.0",38,"Male",42,4,8,26,"Standard","Monthly","926.00",26,1,5
"15982.0",26,"Male",57,10,6,21,"Basic","Monthly","605.00",29,1,5
"21397.0",51,"Male",4,1,6,15,"Premium","Monthly","127.00",17,1,5
"6742.0",27,"Male",10,10,10,24,"Basic","Monthly","699.00",24,1,5
"7927.0",60,"Female",47,7,6,27,"Standard","Monthly","141.00",18,1,5
"18669.0",19,"Male",16,10,7,17,"Premium","Monthly","903.00",27,1,5
"27417.0",23,"Female",57,6,6,30,"Basic","Monthly","370.00",25,1,5
"2646.0",32,"Male",50,1,7,24,"Standard","Monthly","417.00",25,1,5
"21356.0",54,"Male",52,7,7,20,"Premium","Monthly","303.00",17,1,5
"37698.0",42,"Female",9,2,10,29,"Standard","Monthly","785.00",16,1,5
"21345.0",35,"Female",16,4,10,23,"Basic","Monthly","179.00",18,1,5
"5660.0",40,"Male",60,4,8,15,"Standard","Monthly","837.00",16,1,5
"18653.0",65,"Female",9,2,7,17,"Premium","Monthly","392.00",26,1,5
"3947.0",28,"Male",24,1,10,23,"Premium","Monthly","112.00",17,1,5
"30027.0",53,"Male",28,4,8,28,"Premium","Monthly","905.00",30,1,5
"33949.0",52,"Male",38,3,5,30,"Standard","Monthly","823.00",19,1,5
"30026.0",32,"Female",22,7,7,16,"Basic","Monthly","103.00",22,1,5
"21312.0",26,"Male",40,1,9,25,"Premium","Monthly","376.00",17,1,5
"12141.0",64,"Male",1,2,8,29,"Premium","Monthly","956.00",30,1,5
"10772.0",61,"Female",41,8,9,17,"Standard","Monthly","232.00",28,1,5
"25870.0",39,"Male",49,10,10,29,"Premium","Monthly","104.00",17,1,5
"32125.0",23,"Male",53,1,5,19,"Standard","Monthly","643.00",16,1,5
"13394.0",25,"Male",53,8,7,15,"Premium","Monthly","233.00",20,1,5
"13844.0",47,"Male",54,4,8,26,"Basic","Monthly","869.00",27,1,5
"21281.0",24,"Male",17,8,8,25,"Basic","Monthly","453.00",17,1,5
"28697.0",34,"Male",51,7,8,15,"Basic","Monthly","357.00",28,1,5
"38107.0",58,"Female",2,8,8,25,"Premium","Monthly","846.00",28,1,5
"37526.0",59,"Male",59,1,5,25,"Basic","Monthly","543.00",21,1,5
"21267.0",46,"Male",2,2,8,28,"Premium","Monthly","484.00",25,1,5
"2657.0",41,"Male",13,10,8,28,"Premium","Monthly","690.00",16,1,5
"14845.0",59,"Female",38,1,6,24,"Standard","Monthly","950.00",26,1,5
"23591.0",48,"Female",5,1,8,16,"Premium","Monthly","973.00",18,1,5
"35831.0",44,"Female",10,7,8,22,"Standard","Monthly","512.00",25,1,5
"34566.0",56,"Male",30,6,7,22,"Standard","Monthly","271.00",24,1,5
"25814.0",48,"Female",2,6,6,18,"Basic","Monthly","842.00",22,1,5
"2031.0",21,"Female",60,3,5,18,"Premium","Monthly","773.00",26,1,5
"18465.0",55,"Male",34,5,9,24,"Premium","Monthly","588.00",21,1,5
"8865.0",48,"Female",22,2,9,20,"Standard","Monthly","987.00",24,1,5
"15784.0",55,"Male",20,5,6,23,"Basic","Monthly","692.00",18,1,5
"8853.0",41,"Female",49,8,5,16,"Premium","Monthly","976.00",25,1,5
"14827.0",27,"Male",20,8,8,17,"Basic","Monthly","164.00",26,1,5
"3482.0",50,"Female",28,6,5,15,"Standard","Monthly","398.00",18,1,5
"30406.0",60,"Female",40,3,10,17,"Basic","Monthly","186.00",28,1,5
"6342.0",28,"Male",51,5,6,30,"Premium","Monthly","360.00",20,1,5
"18416.0",51,"Male",27,5,7,15,"Standard","Monthly","938.00",26,1,5
"21197.0",45,"Male",59,1,10,20,"Standard","Monthly","343.00",30,1,5
"34939.0",53,"Male",49,9,8,18,"Basic","Monthly","434.00",18,1,5
"1542.0",20,"Female",9,3,5,16,"Standard","Monthly","190.00",23,1,5
"7845.0",29,"Male",47,4,5,30,"Premium","Monthly","710.00",17,1,5
"15632.0",46,"Female",9,8,7,22,"Premium","Monthly","901.00",25,1,5
"352.0",29,"Female",60,3,7,27,"Basic","Monthly","540.00",17,1,5
"25768.0",42,"Male",12,5,5,30,"Basic","Monthly","100.00",22,1,5
"3044.0",44,"Male",49,3,6,16,"Standard","Monthly","775.00",17,1,5
"35433.0",48,"Female",45,1,8,16,"Basic","Monthly","262.00",24,1,5
"11416.0",18,"Female",23,4,5,18,"Premium","Monthly","444.00",22,1,5
"14165.0",53,"Female",39,10,5,18,"Premium","Monthly","547.00",27,1,5
"13002.0",23,"Male",47,9,9,17,"Basic","Monthly","344.00",29,1,5
"23487.0",35,"Female",58,5,7,30,"Premium","Monthly","199.00",30,1,5
"38871.0",27,"Male",20,2,6,28,"Premium","Monthly","424.00",19,1,5
"7813.0",43,"Male",11,9,5,26,"Premium","Monthly","1000.00",24,1,5
"5577.0",61,"Male",44,4,5,16,"Standard","Monthly","375.00",23,1,5
"21123.0",30,"Female",52,5,9,18,"Basic","Monthly","860.00",23,1,5
"28584.0",62,"Male",52,7,9,21,"Premium","Monthly","414.00",19,1,5
"25745.0",37,"Female",57,2,9,25,"Basic","Monthly","139.00",28,1,5
"23445.0",27,"Female",41,10,5,25,"Premium","Monthly","517.00",23,1,5
"83.0",19,"Male",53,3,6,17,"Standard","Monthly","808.00",19,1,5
"36629.0",42,"Male",22,10,5,19,"Premium","Monthly","112.00",26,1,5
"29887.0",47,"Female",20,3,7,22,"Standard","Monthly","977.00",28,1,5
"21101.0",61,"Female",14,2,6,18,"Standard","Monthly","804.00",25,1,5
"30392.0",61,"Male",10,10,7,25,"Basic","Monthly","305.00",23,1,5
"37259.0",27,"Female",31,7,8,19,"Basic","Monthly","883.00",17,1,5
"14712.0",64,"Female",32,6,6,29,"Basic","Monthly","733.00",20,1,5
"33885.0",27,"Male",28,5,5,20,"Premium","Monthly","381.00",20,1,5
"4006.0",36,"Male",41,7,6,16,"Premium","Monthly","482.00",18,1,5
"177.0",43,"Male",59,8,9,27,"Premium","Monthly","535.00",22,1,5
"9783.0",22,"Female",51,9,9,22,"Standard","Monthly","849.00",25,1,5
"29861.0",65,"Female",7,6,8,30,"Premium","Monthly","779.00",17,1,5
"10683.0",36,"Female",25,7,5,22,"Basic","Monthly","142.00",30,1,5
"37682.0",29,"Male",24,10,6,22,"Standard","Monthly","614.00",24,1,5
"12058.0",55,"Female",47,3,10,19,"Basic","Monthly","786.00",22,1,5
"4014.0",55,"Female",10,7,7,15,"Standard","Monthly","872.00",26,1,5
"15145.0",41,"Female",20,4,9,18,"Basic","Monthly","579.00",28,1,5
"18217.0",63,"Female",15,10,7,19,"Standard","Monthly","612.00",24,1,5
"18203.0",55,"Female",12,5,5,27,"Basic","Monthly","277.00",19,1,5
"4579.0",21,"Female",17,1,7,27,"Standard","Monthly","244.00",22,1,5
"18200.0",18,"Male",59,9,5,29,"Premium","Monthly","323.00",27,1,5
"15288.0",20,"Female",30,4,7,17,"Standard","Monthly","991.00",25,1,5
"11362.0",64,"Female",42,10,10,16,"Premium","Monthly","765.00",29,1,5
"31327.0",62,"Male",12,4,5,28,"Standard","Monthly","325.00",17,1,5
"38071.0",38,"Female",18,5,9,24,"Premium","Monthly","658.00",17,1,5
"14709.0",31,"Female",12,6,7,28,"Premium","Monthly","776.00",19,1,5
"7755.0",33,"Female",31,3,8,26,"Standard","Monthly","946.00",27,1,5
"2062.0",50,"Female",20,4,8,29,"Premium","Monthly","678.00",27,1,5
"31997.0",34,"Female",21,5,10,25,"Premium","Monthly","869.00",26,1,5
"25662.0",43,"Male",40,6,10,15,"Basic","Monthly","209.00",16,1,5
"6192.0",35,"Female",23,1,9,18,"Standard","Monthly","480.00",29,1,5
"29791.0",58,"Female",14,2,10,28,"Premium","Monthly","817.00",30,1,5
"23367.0",28,"Female",56,3,6,22,"Standard","Monthly","252.00",22,1,5
"18143.0",29,"Female",28,5,8,30,"Standard","Monthly","937.00",23,1,5
"38190.0",59,"Female",10,8,6,24,"Basic","Monthly","989.00",23,1,5
"18138.0",30,"Male",22,2,8,30,"Premium","Monthly","367.00",17,1,5
"38562.0",49,"Male",16,3,5,17,"Premium","Monthly","714.00",18,1,5
"14806.0",32,"Female",39,8,8,15,"Premium","Monthly","627.00",28,1,5
"31187.0",22,"Female",26,3,9,28,"Basic","Monthly","814.00",18,1,5
"6781.0",30,"Male",42,4,8,26,"Basic","Monthly","499.00",29,1,5
"18087.0",38,"Male",32,8,10,27,"Basic","Monthly","724.00",27,1,5
"12955.0",65,"Male",29,7,9,21,"Premium","Monthly","487.00",28,1,5
"3083.0",25,"Female",10,8,8,17,"Standard","Monthly","726.00",18,1,5
"33870.0",36,"Male",53,8,7,16,"Basic","Monthly","726.00",19,1,5
"11309.0",38,"Male",6,5,10,18,"Standard","Monthly","527.00",18,1,5
"4607.0",55,"Male",40,5,8,19,"Premium","Monthly","633.00",27,1,5
"20950.0",51,"Male",28,8,10,22,"Basic","Monthly","315.00",17,1,5
"33866.0",26,"Male",39,10,8,24,"Basic","Monthly","572.00",17,1,5
"34486.0",59,"Male",10,10,10,18,"Premium","Monthly","549.00",30,1,5
"18069.0",63,"Female",47,5,6,18,"Standard","Monthly","761.00",25,1,5
"39076.0",50,"Female",9,5,8,26,"Premium","Monthly","476.00",23,1,5
"32703.0",61,"Male",10,8,6,25,"Standard","Monthly","114.00",22,1,5
"236.0",33,"Female",1,1,7,18,"Basic","Monthly","411.00",16,1,5
"25618.0",53,"Male",44,5,9,25,"Basic","Monthly","531.00",30,1,5
"18020.0",26,"Female",53,9,6,17,"Premium","Monthly","722.00",28,1,5
"2074.0",30,"Male",29,8,7,17,"Basic","Monthly","778.00",17,1,5
"23253.0",27,"Male",18,7,7,20,"Premium","Monthly","867.00",18,1,5
"14127.0",32,"Male",31,6,10,18,"Basic","Monthly","975.00",26,1,5
"14126.0",19,"Male",56,4,5,18,"Standard","Monthly","419.00",20,1,5
"7700.0",44,"Female",24,6,6,21,"Basic","Monthly","162.00",18,1,5
"7699.0",38,"Male",26,3,7,21,"Basic","Monthly","306.00",21,1,5
"6043.0",38,"Male",54,3,7,19,"Basic","Monthly","363.00",27,1,5
"15138.0",24,"Female",52,2,8,19,"Basic","Monthly","438.00",19,1,5
"17954.0",22,"Female",14,1,9,16,"Premium","Monthly","143.00",29,1,5
"70.0",44,"Female",43,1,8,28,"Standard","Monthly","548.00",28,1,5
"17940.0",33,"Male",47,6,10,19,"Basic","Monthly","724.00",29,1,5
"2377.0",59,"Male",58,10,5,21,"Premium","Monthly","778.00",19,1,5
"17920.0",26,"Female",56,3,10,22,"Standard","Monthly","343.00",18,1,5
"20893.0",46,"Male",6,9,5,26,"Basic","Monthly","801.00",28,1,5
"20889.0",38,"Male",55,9,10,26,"Premium","Monthly","190.00",17,1,5
"1318.0",60,"Female",23,7,7,26,"Premium","Monthly","381.00",26,1,5
"25591.0",43,"Female",39,5,9,15,"Standard","Monthly","800.00",21,1,5
"12422.0",38,"Male",33,4,5,23,"Standard","Monthly","879.00",17,1,5
"2718.0",22,"Male",6,10,9,24,"Premium","Monthly","678.00",16,1,5
"23165.0",42,"Female",23,3,8,28,"Basic","Monthly","690.00",20,1,5
"20867.0",23,"Female",39,10,8,17,"Basic","Monthly","945.00",23,1,5
"3102.0",53,"Male",10,7,6,30,"Premium","Monthly","513.00",27,1,5
"25579.0",45,"Female",9,2,5,24,"Standard","Monthly","963.00",27,1,5
"25578.0",53,"Female",39,2,5,21,"Premium","Monthly","628.00",17,1,5
"32160.0",42,"Female",4,10,8,21,"Standard","Monthly","637.00",24,1,5
"17854.0",43,"Female",8,6,10,27,"Premium","Monthly","271.00",20,1,5
"31655.0",51,"Male",25,3,6,25,"Premium","Monthly","470.00",29,1,5
"23149.0",29,"Male",14,2,10,26,"Basic","Monthly","903.00",17,1,5
"33796.0",44,"Male",45,10,5,29,"Standard","Monthly","936.00",27,1,5
"36283.0",63,"Male",31,9,9,28,"Standard","Monthly","752.00",19,1,5
"5422.0",61,"Female",3,4,8,27,"Premium","Monthly","775.00",16,1,5
"17822.0",39,"Female",37,8,8,22,"Basic","Monthly","647.00",25,1,5
"1508.0",22,"Female",55,5,7,26,"Basic","Monthly","942.00",24,1,5
"30906.0",48,"Male",26,4,10,18,"Basic","Monthly","881.00",25,1,5
"17812.0",36,"Female",60,9,5,30,"Basic","Monthly","122.00",19,1,5
"30355.0",25,"Male",19,8,7,19,"Premium","Monthly","745.00",17,1,5
"17798.0",40,"Male",53,1,7,27,"Basic","Monthly","436.00",23,1,5
"17791.0",33,"Female",55,9,9,21,"Premium","Monthly","133.00",29,1,5
"12416.0",22,"Female",37,8,9,19,"Standard","Monthly","459.00",18,1,5
"32097.0",26,"Male",30,9,10,21,"Standard","Monthly","133.00",27,1,5
"32602.0",54,"Male",26,6,9,16,"Premium","Monthly","656.00",23,1,5
"36460.0",36,"Female",49,1,8,25,"Standard","Monthly","612.00",29,1,5
"17746.0",42,"Female",23,9,6,30,"Basic","Monthly","337.00",19,1,5
"2730.0",44,"Male",41,2,6,24,"Basic","Monthly","738.00",27,1,5
"11928.0",24,"Male",53,7,9,15,"Basic","Monthly","614.00",18,1,5
"17702.0",34,"Male",30,6,10,23,"Premium","Monthly","526.00",21,1,5
"2096.0",19,"Male",50,3,10,18,"Premium","Monthly","701.00",16,1,5
"17690.0",51,"Male",29,2,8,28,"Standard","Monthly","707.00",30,1,5
"17678.0",18,"Male",58,8,8,21,"Basic","Monthly","718.00",19,1,5
"36275.0",43,"Female",38,4,6,27,"Standard","Monthly","699.00",22,1,5
"36254.0",59,"Female",17,8,10,24,"Basic","Monthly","490.00",24,1,5
"29625.0",61,"Male",38,10,5,24,"Premium","Monthly","743.00",16,1,5
"23097.0",60,"Male",21,1,8,18,"Standard","Monthly","871.00",30,1,5
"12415.0",61,"Female",46,4,9,26,"Premium","Monthly","630.00",16,1,5
"38188.0",44,"Male",4,8,6,15,"Premium","Monthly","145.00",22,1,5
"1325.0",44,"Male",50,8,5,26,"Basic","Monthly","296.00",25,1,5
"8692.0",62,"Female",60,1,7,21,"Standard","Monthly","191.00",27,1,5
"34452.0",29,"Female",34,1,8,19,"Basic","Monthly","426.00",25,1,5
"36457.0",58,"Female",32,7,8,16,"Premium","Monthly","521.00",18,1,5
"4681.0",52,"Male",34,10,9,23,"Standard","Monthly","414.00",26,1,5
"13725.0",49,"Male",56,3,6,16,"Standard","Monthly","457.00",16,1,5
"32553.0",23,"Male",37,1,6,21,"Standard","Monthly","573.00",25,1,5
"20626.0",54,"Male",42,7,6,27,"Standard","Monthly","953.00",22,1,5
"25458.0",48,"Female",22,4,5,26,"Premium","Monthly","343.00",23,1,5
"17587.0",52,"Female",44,2,10,23,"Premium","Monthly","415.00",25,1,5
"33196.0",28,"Female",23,8,7,22,"Premium","Monthly","986.00",30,1,5
"23069.0",41,"Male",1,3,8,28,"Premium","Monthly","293.00",24,1,5
"4095.0",51,"Female",12,10,6,26,"Standard","Monthly","814.00",21,1,5
"27165.0",38,"Male",20,8,8,27,"Premium","Monthly","709.00",18,1,5
"34447.0",18,"Male",44,9,7,19,"Premium","Monthly","261.00",23,1,5
"25449.0",45,"Female",14,6,6,24,"Premium","Monthly","237.00",22,1,5
"30724.0",27,"Female",19,2,5,23,"Basic","Monthly","121.00",18,1,5
"23031.0",22,"Male",27,10,6,15,"Standard","Monthly","950.00",30,1,5
"563.0",23,"Male",11,2,7,16,"Basic","Monthly","918.00",20,1,5
"20526.0",52,"Male",41,10,9,21,"Premium","Monthly","238.00",20,1,5
